id,birth_month,birth_year,education_dad,education_mom,drug_use_score,flag_female,flag_black,flag_hispanic,flag_divorce,school_quality,year,CV_CENSUS_REGION,education,hours_worked_since02,wage,log_wage,fte_experience,flag_working,flag_married,num_children,fte_experience_sq,age
5617,1,1984,12,12,0,0,0,0,0,3,2021,3,12,41973,25,3.2188758248682006,20.9865,1,1,0,440.43318224999996,37
5618,7,1980,16,18,1,1,0,0,0,1,2010,3,14,13873,10,2.302585092994046,6.9365,1,0,0,48.11503225,30
5618,7,1980,16,18,1,1,0,0,0,1,2011,3,14,14927,10,2.302585092994046,7.4635,1,0,0,55.70383225,31
5618,7,1980,16,18,1,1,0,0,0,1,2013,3,14,16877,11.25,2.4203681286504293,8.4385,1,0,1,71.20828225,33
5618,7,1980,16,18,1,1,0,0,0,1,2015,3,14,17917,9,2.1972245773362196,8.9585,1,0,2,80.25472225000001,35
5618,7,1980,16,18,1,1,0,0,0,1,2017,3,14,21605,11.75,2.463853240590168,10.8025,1,1,2,116.69400625,37
5618,7,1980,16,18,1,1,0,0,0,1,2019,3,14,27421,13.7,2.617395832834079,13.7105,1,1,0,187.97781025,39
5618,7,1980,16,18,1,1,0,0,0,1,2021,3,14,30981,13,2.5649493574615367,15.4905,1,1,0,239.95559025000003,41
5620,9,1983,12,12,0,1,0,0,0,4,2013,3,17,17880,18.75,2.9311937524164198,8.94,1,1,0,79.9236,30
5620,9,1983,12,12,0,1,0,0,0,4,2015,3,17,25880,13.78,2.6232182655855123,12.94,1,1,0,167.44359999999998,32
5620,9,1983,12,12,0,1,0,0,0,4,2019,3,17,41880,14,2.6390573296152584,20.94,1,1,0,438.4836000000001,36
5620,9,1983,12,12,0,1,0,0,0,4,2021,3,17,48480,20,2.995732273553991,24.24,1,1,0,587.5776,38
5621,8,1984,6,11,0,1,1,0,0,1,2010,3,11,7891,9,2.1972245773362196,3.9455,1,0,2,15.56697025,26
5621,8,1984,6,11,0,1,1,0,0,1,2011,3,11,9441,9.25,2.224623551524334,4.7205,1,1,2,22.283120250000003,27
5621,8,1984,6,11,0,1,1,0,0,1,2013,3,11,11841,10.25,2.327277705584417,5.9205,1,1,2,35.052320249999994,29
5621,8,1984,6,11,0,1,1,0,0,1,2015,3,11,15531,9.5,2.2512917986064953,7.7655,1,1,2,60.30299025000001,31
5621,8,1984,6,11,0,1,1,0,0,1,2019,3,11,23986,19.23,2.9564715596006885,11.993,1,0,0,143.832049,35
5622,6,1984,12,12,0,1,1,0,0,3,2010,3,17,8416,11.3,2.424802725718295,4.208,1,0,0,17.707264000000002,26
5622,6,1984,12,12,0,1,1,0,0,3,2011,3,17,10096,11.75,2.463853240590168,5.048,1,0,0,25.482304,27
5622,6,1984,12,12,0,1,1,0,0,3,2013,3,17,13291,26,3.258096538021482,6.6455,1,1,0,44.162670250000005,29
5622,6,1984,12,12,0,1,1,0,0,3,2015,3,17,16706,23.63,3.1625170911988163,8.353,1,1,1,69.772609,31
5622,6,1984,12,12,0,1,1,0,0,3,2017,3,17,20276,30.71,3.424588334452731,10.138,1,1,1,102.779044,33
5622,6,1984,12,12,0,1,1,0,0,3,2019,3,17,23766,25,3.2188758248682006,11.883,1,1,0,141.20568899999998,35
5622,6,1984,12,12,0,1,1,0,0,3,2021,3,17,27526,31.25,3.4420193761824107,13.763,1,1,0,189.420169,37
5624,11,1980,12,16,0,1,1,0,0,2,2010,3,12,960,NA,NA,0.48,0,0,4,0.2304,30
5624,11,1980,12,16,0,1,1,0,0,2,2011,3,12,960,NA,NA,0.48,0,0,4,0.2304,31
5624,11,1980,12,16,0,1,1,0,0,2,2013,3,14,1590,8.5,2.1400661634962708,0.795,1,0,4,0.6320250000000001,33
5624,11,1980,12,16,0,1,1,0,0,2,2015,3,14,3870,9.25,2.224623551524334,1.935,1,0,5,3.744225,35
5624,11,1980,12,16,0,1,1,0,0,2,2017,3,14,6975,9.25,2.224623551524334,3.4875,1,0,5,12.16265625,37
5624,11,1980,12,16,0,1,1,0,0,2,2019,3,14,10615,10.1,2.3125354238472138,5.3075,1,0,0,28.16955625,39
5624,11,1980,12,16,0,1,1,0,0,2,2021,3,14,13695,12.5,2.5257286443082556,6.8475,1,0,0,46.888256250000005,41
